objective value:                     4487.51582646449
t#251                              -0.974677669782696 	(obj:0)
t#252                              -0.969606263709969 	(obj:0)
t#253                              -0.765124943907942 	(obj:0)
t#254                              -0.844073372032555 	(obj:0)
t#255                              -0.844073372032555 	(obj:0)
t#256                              -0.980504799015636 	(obj:0)
t#257                               -0.91515383755141 	(obj:0)
t#258                              -0.974712369929027 	(obj:0)
t#259                              -0.951628339030608 	(obj:0)
t#260                              -0.888232525491184 	(obj:0)
t#261                              -0.951628339030608 	(obj:0)
t#262                               -0.84845660516325 	(obj:0)
t#263                              -0.975543323366478 	(obj:0)
t#264                              -0.824662006421729 	(obj:0)
t#265                              -0.973853471367063 	(obj:0)
t#266                              -0.917728683162822 	(obj:0)
t#267                              -0.969648643915358 	(obj:0)
t#268                              -0.968034022193182 	(obj:0)
t#269                              -0.987009646019829 	(obj:0)
t#270                              -0.917728683162822 	(obj:0)
t#271                              -0.917728683162822 	(obj:0)
t#272                              -0.986309813108641 	(obj:0)
t#273                              -0.960093884183042 	(obj:0)
t#274                              -0.961508910123535 	(obj:0)
t#275                              -0.882273070933602 	(obj:0)
t#276                              -0.933509763691446 	(obj:0)
t#277                              -0.939926795412003 	(obj:0)
t#278                              -0.882273070933602 	(obj:0)
t#279                              -0.818157159417535 	(obj:0)
t#280                              -0.882273070933602 	(obj:0)
t#281                              -0.909189757807629 	(obj:0)
t#282                              -0.843592474931266 	(obj:0)
t#283                              -0.835082419737824 	(obj:0)
t#284                              -0.909878210510798 	(obj:0)
t#285                              -0.975807414493486 	(obj:0)
t#286                              -0.851574068109554 	(obj:0)
t#287                              -0.975086391479604 	(obj:0)
t#288                              -0.983392870981262 	(obj:0)
t#289                              -0.944766960429573 	(obj:0)
t#290                              -0.861629990008612 	(obj:0)
t#291                              -0.808257893572498 	(obj:0)
t#292                              -0.900864218038893 	(obj:0)
t#293                              -0.776764767292944 	(obj:0)
t#294                              -0.941388181467982 	(obj:0)
t#295                               -0.96560103203995 	(obj:0)
t#296                              -0.946092321011949 	(obj:0)
t#297                                -0.9793953193703 	(obj:0)
t#298                              -0.974268948085789 	(obj:0)
t#299                               -0.98769596888738 	(obj:0)
t#300                              -0.954766067042367 	(obj:0)
t#301                              -0.945213157384531 	(obj:0)
t#302                              -0.989344365718647 	(obj:0)
t#303                              -0.955839921504131 	(obj:0)
t#304                              -0.975377502693884 	(obj:0)
t#305                                -0.9793953193703 	(obj:0)
t#306                              -0.975377502693884 	(obj:0)
t#307                               -0.96687633235788 	(obj:0)
t#308                              -0.975807414493486 	(obj:0)
t#309                              -0.988076745459775 	(obj:0)
t#310                              -0.963240217291099 	(obj:0)
t#311                              -0.984245014521408 	(obj:0)
t#312                              -0.939039951725527 	(obj:0)
t#313                              -0.849267293535248 	(obj:0)
t#314                              -0.944766960429573 	(obj:0)
t#315                              -0.931937522174657 	(obj:0)
t#316                              -0.995295860456032 	(obj:0)
t#317                              -0.974248683020335 	(obj:0)
t#318                              -0.981135231634163 	(obj:0)
t#319                              -0.950353038712679 	(obj:0)
t#320                              -0.954766067042367 	(obj:0)
t#321                                -0.9793953193703 	(obj:0)
t#322                              -0.961915781745962 	(obj:0)
t#323                               -0.89844260809368 	(obj:0)
t#324                               -0.99581543761375 	(obj:0)
t#325                              -0.961915781745962 	(obj:0)
t#326                               -0.99581543761375 	(obj:0)
t#327                               -0.86578475719587 	(obj:0)
t#328                              -0.990626421058395 	(obj:0)
t#329                              -0.973590305277295 	(obj:0)
t#330                              -0.858800863164867 	(obj:0)
t#331                              -0.946953069648394 	(obj:0)
t#332                              -0.981024376173353 	(obj:0)
t#333                              -0.970715743355305 	(obj:0)
t#334                              -0.985748780782775 	(obj:0)
t#335                              -0.937641210940392 	(obj:0)
t#336                                -0.9303999808042 	(obj:0)
t#337                              -0.975044936311456 	(obj:0)
t#338                              -0.988637777785641 	(obj:0)
t#339                              -0.970715743355305 	(obj:0)
t#340                              -0.990072143754347 	(obj:0)
t#341                                -0.9793953193703 	(obj:0)
t#342                              -0.980913520712543 	(obj:0)
